Country,GoldMedals,Silver,Bronze,TotalMedals,BordaPoints,Income,PopnSize,GDP,Income SQ,PopnSQ,IncomeCubed,PopnCubed,GDPSQ,GDPCubed,Ln(Income),Ln(PopnSize),Ln(GDP),Key to Variables
United Arab Emirates,0,0,0,0,0,6.7008,0.008260536,0.055352198,44.90072064,6.82E-05,300.8707489,5.64E-07,0.003063866,2.88E-08,1.902226922,-4.796265837,-2.894038915,


Uruguay,0,0,0,0,0,1.4415,0.003318422,0.004783506,2.07792225,1.10E-05,2.995324923,3.65E-08,2.29E-05,1.20E-14,0.365684238,-5.708265837,-5.342581599,


Vanuatu,0,0,0,0,0,0.3036,0.000224583,6.82E-05,0.09217296,5.04E-08,0.027983711,1.13E-11,4.65E-09,1.00E-25,-1.192044233,-8.401265837,-9.59331007,


Vietnam,0,0,0,0,0,0.1498,0.091513769,0.013708763,0.02244004,0.00837477,0.003361518,0.000766407,0.00018793,6.64E-12,-1.898454208,-2.391265837,-4.289720045,


Virgin Islands,0,0,0,0,0,1.4369,0.000109754,0.000157706,2.06468161,1.20E-08,2.966741005,1.32E-12,2.49E-08,1.54E-23,0.362488015,-9.117265837,-8.754777822,


Yemen,0,0,0,0,0,0.134,0.025140735,0.003368859,0.017956,0.000632057,0.002406104,1.59E-05,1.13E-05,1.46E-15,-2.009915479,-3.683265837,-5.693181316,


Zambia,0,0,0,0,0,0.1413,0.012929215,0.001826898,0.01996569,0.000167165,0.002821152,2.16E-06,3.34E-06,3.72E-17,-1.956869989,-4.348265837,-6.305135826,


Zimbabwe,0,0,0,0,0,0.0487,0.012522029,0.000609823,0.00237169,0.000156801,0.000115501,1.96E-06,3.72E-07,5.14E-20,-3.022076249,-4.380265837,-7.402342086,
